STATE_INDEX,BITSTRING_Q0_TO_Q8,COUNT,EMPIRICAL_PROBABILITY,THEORETICAL_PROBABILITY,IS_FEASIBLE,IS_OPTIMAL,ORDER_NODE_IDS,ROAD_DISTANCE_KM,CONSTRAINT_VIOLATION,QUBO_ENERGY
40,000101000,16,0.00390625,0.0034053039745631447,False,False,INFACTIBLE,,4.0,1100.2404
268,001100001,16,0.00390625,0.0060148506021636345,False,False,INFACTIBLE,,2.0,684.0654
228,001001110,15,0.003662109375,0.0033210846500543977,False,False,INFACTIBLE,,2.0,714.1409
65,100000100,14,0.00341796875,0.0037540018885835855,False,False,INFACTIBLE,,4.0,1050.8121999999998
320,000000101,14,0.00341796875,0.0036967214172196495,False,False,INFACTIBLE,,4.0,1049.3742
336,000010101,14,0.00341796875,0.006458362190224062,False,False,INFACTIBLE,,2.0,632.7483
24,000110000,13,0.003173828125,0.0041257614933388155,False,False,INFACTIBLE,,4.0,1008.5536999999999
78,011100100,13,0.003173828125,0.003313493480866995,False,False,INFACTIBLE,,2.0,714.6729
284,001110001,13,0.003173828125,0.0031646365541200152,False,False,INFACTIBLE,,2.0,726.405
113,100011100,12,0.0029296875,0.003164636554120013,False,False,INFACTIBLE,,2.0,726.405
116,001011100,12,0.0029296875,0.0017089257249067685,False,False,INFACTIBLE,,2.0,726.405
163,110001010,12,0.0029296875,0.0023534689712640436,False,False,INFACTIBLE,,2.0,669.3231
170,010101010,12,0.0029296875,0.0030537071007041153,False,False,INFACTIBLE,,2.0,726.4861
36,001001000,11,0.002685546875,0.003499555509606961,False,False,INFACTIBLE,,4.0,1076.2453
114,010011100,11,0.002685546875,0.0022091076670891015,False,False,INFACTIBLE,,2.0,667.8851
260,001000001,11,0.002685546875,0.0037540018885835855,False,False,INFACTIBLE,,4.0,1050.8121999999998
288,000001001,11,0.002685546875,0.0035130132224043863,False,False,INFACTIBLE,,4.0,1074.8073
337,100010101,11,0.002685546875,0.001696830696386505,False,False,INFACTIBLE,,2.0,721.8757
86,011010100,10,0.00244140625,0.00242645144933713,False,False,INFACTIBLE,,2.0,643.89
141,101100010,10,0.00244140625,0.0017251258287564594,False,False,INFACTIBLE,,2.0,724.7506
165,101001010,10,0.00244140625,0.001725125828756458,False,False,INFACTIBLE,,2.0,724.7506
384,000000011,10,0.00244140625,0.004482622322374386,False,False,INFACTIBLE,,4.0,983.1206
396,001100011,10,0.00244140625,0.001951891953621101,False,False,INFACTIBLE,,2.0,714.1409
106,010101100,9,0.002197265625,0.0014727631048106272,False,False,INFACTIBLE,,2.0,760.1038
142,011100010,9,0.002197265625,0.002353468971264044,False,False,INFACTIBLE,,2.0,669.3231
169,100101010,9,0.002197265625,0.0014734821438074552,False,False,INFACTIBLE,,2.0,760.4778
298,010101001,9,0.002197265625,0.001472763104810626,False,False,INFACTIBLE,,2.0,760.1038
338,010010101,9,0.002197265625,0.0036924357461582034,False,False,INFACTIBLE,,2.0,651.0917
340,001010101,9,0.002197265625,0.0016968306963865056,False,False,INFACTIBLE,,2.0,721.8757
13,101100000,8,0.001953125,0.0008976766569556907,False,False,INFACTIBLE,,4.0,1143.9369
102,011001100,8,0.001953125,0.0018638336088644845,False,False,INFACTIBLE,,2.0,714.6729
152,000110010,8,0.001953125,0.001235952208094442,False,False,INFACTIBLE,,4.0,1029.4575
208,000010110,8,0.001953125,0.0013389370754472378,False,False,INFACTIBLE,,4.0,1004.0244
212,001010110,8,0.001953125,0.0024351226044740802,False,False,INFACTIBLE,,2.0,643.89
275,110010001,8,0.001953125,0.0024264514493371305,False,False,INFACTIBLE,,2.0,643.89
277,101010001,8,0.001953125,0.0016822599443695257,False,False,INFACTIBLE,,2.0,723.8457000000001
281,100110001,8,0.001953125,0.001708925724906769,False,False,INFACTIBLE,,2.0,726.405
386,010000011,8,0.001953125,0.0014858322828651808,False,False,INFACTIBLE,,4.0,992.2923
394,010100011,8,0.001953125,0.002365817765073708,False,False,INFACTIBLE,,2.0,667.8851
417,100001011,8,0.001953125,0.0018765059759371543,False,False,INFACTIBLE,,2.0,714.1409
177,100011010,7,0.001708984375,0.0022054223673437555,False,False,INFACTIBLE,,2.0,669.3231
204,001100110,7,0.001708984375,0.001876505975937152,False,False,INFACTIBLE,,2.0,714.1409
270,011100001,7,0.001708984375,0.001942891752569717,False,False,INFACTIBLE,,2.0,714.6729
324,001000101,7,0.001708984375,0.0009882310393804273,False,False,INFACTIBLE,,4.0,1117.0657999999999
330,010100101,7,0.001708984375,0.001739157637796568,False,False,INFACTIBLE,,2.0,722.4066
393,100100011,7,0.001708984375,0.0033210846500544016,False,False,INFACTIBLE,,2.0,714.1409
22,011010000,6,0.00146484375,0.0013256554226415476,False,False,INFACTIBLE,,4.0,1005.9943999999999
44,001101000,6,0.00146484375,0.0008659054103305828,False,False,INFACTIBLE,,4.0,1167.932
67,110000100,6,0.00146484375,0.0011208485428825066,False,False,INFACTIBLE,,4.0,1059.9839
92,001110100,6,0.00146484375,0.0017126249109744175,False,False,INFACTIBLE,,2.0,726.405
200,000100110,6,0.00146484375,0.0009843620947385598,False,False,INFACTIBLE,,4.0,1095.7111
226,010001110,6,0.00146484375,0.002365817765073705,False,False,INFACTIBLE,,2.0,667.8851
282,010110001,6,0.00146484375,0.0022091076670891006,False,False,INFACTIBLE,,2.0,667.8851
305,100011001,6,0.00146484375,0.0017126249109744168,False,False,INFACTIBLE,,2.0,726.405
354,010001101,6,0.00146484375,0.0017391576377965698,False,False,INFACTIBLE,,2.0,722.4066
11,110100000,5,0.001220703125,0.000975503975458147,False,False,INFACTIBLE,,4.0,1097.6811
19,110010000,5,0.001220703125,0.001325655422641547,False,False,INFACTIBLE,,4.0,1005.9943999999999
26,010110000,5,0.001220703125,0.001229255032269061,False,False,INFACTIBLE,,4.0,1029.9895
38,011001000,5,0.001220703125,0.000975503975458147,False,False,INFACTIBLE,,4.0,1097.6811
99,110001100,5,0.001220703125,0.001942891752569717,False,False,INFACTIBLE,,2.0,714.6729
156,001110010,5,0.001220703125,0.0022054223673437555,False,False,INFACTIBLE,,2.0,669.3231
193,100000110,5,0.001220703125,0.0011232410204045612,False,False,INFACTIBLE,,4.0,1059.9839
267,110100001,5,0.001220703125,0.0018638336088644821,False,False,INFACTIBLE,,2.0,714.6729
50,010011000,4,0.0009765625,0.0012292550322690616,False,False,INFACTIBLE,,4.0,1029.9895
90,010110100,4,0.0009765625,0.00021990809009039066,False,False,INFACTIBLE,,4.0,1126.3186
104,000101100,4,0.0009765625,0.0008700748441431653,False,False,INFACTIBLE,,4.0,1166.494
134,011000010,4,0.0009765625,0.001479128359148627,False,False,INFACTIBLE,,4.0,993.7302999999999
261,101000001,4,0.0009765625,0.000985405051704003,False,False,INFACTIBLE,,4.0,1118.5038
262,011000001,4,0.0009765625,0.0011208485428825055,False,False,INFACTIBLE,,4.0,1059.9839
389,101000011,4,0.0009765625,0.0002334780077506996,False,False,INFACTIBLE,,4.0,1136.8472
37,101001000,3,0.000732421875,0.0008976766569556917,False,False,INFACTIBLE,,4.0,1143.9369
52,001011000,3,0.000732421875,0.0009474553038791955,False,False,INFACTIBLE,,4.0,1097.6811
85,101010100,3,0.000732421875,0.0016822599443695268,False,False,INFACTIBLE,,2.0,723.8457
194,010000110,3,0.000732421875,0.0014858322828651808,False,False,INFACTIBLE,,4.0,992.2923
197,101000110,3,0.000732421875,0.00023347800775069908,False,False,INFACTIBLE,,4.0,1136.8472
202,010100110,3,0.000732421875,0.00026264331974222533,False,False,INFACTIBLE,,4.0,1126.3186
230,011001110,3,0.000732421875,0.00022817079056419837,False,False,INFACTIBLE,,4.0,1203.1819
241,100011110,3,0.000732421875,0.0002162273261753458,False,False,INFACTIBLE,,4.0,1214.914
286,011110001,3,0.000732421875,0.00021487556848948135,False,False,INFACTIBLE,,4.0,1215.446
328,000100101,3,0.000732421875,0.0009046085338312751,False,False,INFACTIBLE,,4.0,1141.0609
352,000001101,3,0.000732421875,0.000904608533831276,False,False,INFACTIBLE,,4.0,1141.0609
388,001000011,3,0.000732421875,0.0011232410204045618,False,False,INFACTIBLE,,4.0,1059.9839
416,000001011,3,0.000732421875,0.0009843620947385594,False,False,INFACTIBLE,,4.0,1095.7111
418,010001011,3,0.000732421875,0.00026264331974222533,False,False,INFACTIBLE,,4.0,1126.3186
428,001101011,3,0.000732421875,0.00019614449115408164,False,False,INFACTIBLE,,6.0,1743.5983999999999
